,Job Title,Location,Date,Link,Job Attributes,Job Description
1,Direct Care Staff-- will assist with MAP certification!,Merrimack Valley area,Jun 27,https://boston.craigslist.org/nwb/npo/d/direct-care-staff-will-assist-with-map/6921920849.html,"
compensation: Very competitive to market

employment type: employee's choice

non-profit organization

","

QR Code Link to This Post


Fidelity House CRC is a nonprofit organization committed to supporting people with developmental disabilities and their families. We are proud to offer 26 community residences throughout Lawrence, Methuen, Haverhill, Georgetown, Salisbury, Amesbury and Andover along with specialized services across 70 cities and towns in Northeastern Massachusetts. 

Our goal is to help children, teens and adults with disabilities such as Autism and Down Syndrome to achieve the richest and fullest lives possible. Over the years, our direct service professionals, nurses, case managers, and administrators have developed a culture of care and compassion. We are actively seeking job candidates who are committed to our mission. 

Ready to fall in love with meaningful work? We're hiring Skills Instructors (direct care staff) for Andover, Haverhill, Lawrence, Georgetown, Amesbury, Salisbury, and Methuen with many schedules to choose from. Go to work in a home for 4-5 people in a regular neighborhood, wearing your own clothes -- not a medical environment. Full or part time positions assisting with life skills, assisting with meals, personal care, medical appointments and leisure activities. 


ACTIVITIES:

Complete required forms on medical, behavioral and community goals from their Individual Support Plan (ISP) and help individuals in their day-to-day life to achieve their goals such as:

Assisting each individual in developing skills in all areas of community living, including doing household tasks and learning social skills.
Assisting each individual to behave appropriately.
Assisting each individual to be active in their community.
Assist and provide safety and personal care to individuals.
Give out medicine to individuals, as needed.
Communicate with other staff through reports and logs.
Help individuals with community and recreational activities.
Attend mandatory training 

Attend, as specified by the Program Director, specific training in the management of orthotic devices, adaptive equipment, safe transfers/body mechanics, as needed, to serve individual residents.
Help and teach money management including simple budgeting and transactions.
Depending on their skills, work with individuals to meal plan and prepare daily healthy meals and snacks.  Remember to consider any special diets prescribed by their doctor. 

The Skills Instructor will
Teach table setting, good table manners and cleaning up as appropriate; and
Teach and help with food shopping and daily errands. 
Provide constant supervision with other staff.
Comply with all applicable statutes, ordinances, policies, regulations and guidelines of Fidelity House and our contracting agency.
Other duties as assigned by Program Director.

Essential Physical Requirements:
The ability to move independently throughout a wide range of environments, some of which may not be wheelchair or otherwise handicapped accessible, is required. Independent transportation to locations that may not be served by public transportation may be necessary. Fidelity House Human Services will make reasonable accommodations, whenever possible, when needed and/or requested by employees. Requests for accommodations will be honored, unless the accommodation would cause undue hardship on the operation of the program and/or on the organization.

SHIFT	Many shifts and locations available, both part time and full time. Please visit our website at Fidelityhhs.org to view all of our opportunities. 

TO APPLY: Please visit our website to apply online. www.fidelityhhs.org/careers.  You may also visit our office from 9am to 4pm to fill out an application in person. 439 S. Union Street, Suite 401 Lawrence, MA

We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, disability status, protected veteran status or any other characteristic protected by law.
"
2,"Developmental Specialist (Day Hab) 8:30 am to 2:30, Mon-Fri","Haverhill, MA",Jun 27,https://boston.craigslist.org/nwb/npo/d/haverhill-developmental-specialist-day/6921919777.html,"
compensation: Highly competitive

employment type: part-time

","

QR Code Link to This Post


Fidelity House CRC is a nonprofit organization dedicated to providing information, services and choices to individuals with developmental disabilities and their families. We see ourselves as partners with the people we serve, with their families, with the Massachusetts Department of Developmental Services (DDS), community groups and donors...all for the purpose of empowering each individual to live a rich and meaningful life.

New opening in our Day Hab Program.  This role provides personal care and skill development training for individuals in a manner that maximizes personal choice, rights & dignity, and community inclusion.

SCHEDULE FOR THIS POSITION: Monday-Friday 8:30am - 2:30pm (30 Hours Per Week)

KEY ACTIVITIES: 

    Provide personal care and assistance to individuals consistent with their medical and physical needs. Adapt and make adjustments to techniques based on abilities and limitations.
    Know and understand the profiles and histories of individuals supported and active indications that care and assistance follows the prescribed needs.
    Understand and implement crisis plans, behavior treatment plans, and medical protocols correctly and consistently.
    Support skill acquisition and goal attainment as defined by support plans. Monitor quality of performance and outputs of persons served- adjusting techniques when necessary
    Complete all documentation required by regulatory agencies, focusing on providing complete, relevant and accurate information

OTHER DUTIES AS ASSIGNED, INCLUDING BUT NOT LIMITED TO….

    Complete incident and accident reports in a manner which clearly identifies all components of the intervention and in accordance with regulatory expectations
    Provide opportunities for self-advocacy and input from persons served into activities/schedules
    Provide transportation as requested by supervisor
    Work collaboratively with team members
    Complete all mandatory trainings within 90 days of hire date.
    Ensure program areas are neat and orderly, supplies stocked and preparation for the next day’s activities.
    Other duties as assigned by supervisor.

Requirements: 

    High School diploma required, Bachelor degree preferred
    1 year of experience in a training program for persons with developmental disabilities
    Must have a valid driver’s license
    Must obtain and be ceritifed in CPR/First Aid within a month
    Registered Behavior Technician preferred

To apply for this position: please visit the career portal at www.fidelityhhs.org and fill out the online application. 
If you respond to this ad, without providing your email or phone number in the text of the ad, we will not have a way to reach you. 

We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, disability status, protected veteran status or any other characteristic protected by law

"
3,Employment Specialist for Vocational Training,"Haverhill, MA",Jun 27,https://boston.craigslist.org/nwb/npo/d/haverhill-employment-specialist-for/6921918502.html,"
compensation: $13.00 per hour

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Fidelity House CRC (Agency) is a non-profit organization committed to supporting people with developmental disabilities and their families.  Please view our website at www.fidelityhhs.org

The Employment Specialist will provide training, supervision, job coaching, supports, travel training and transportation to persons served for community based employment, volunteer activities, and other community based activities related to employment (i.e. job tours, job shadowing, training opportunities, offsite assessments, etc.). The position will contribute to the development and implementation of the ISP and career plan goals and objectives for persons served. The Employment Specialist must be committed to building positive relationships with the people that he/she is supporting as well as with those people and organizations that he/she comes into contact with in the community.


SCHEDULE FOR THIS POSITION: Monday-Friday 8am-4pm (40 Hours Per Week)

RESPONSIBILITIES: 

Provide supervision, assessment, training, coaching, and teaching to persons served in the Employment Department for the purpose of obtaining and maintaining jobs in the community. 

Assist in the implementation of community-based activities (volunteer, paid work, etc.) that promote choice, inclusion, dignity, and respect, while enhancing skill development. 

Ensure activities and supports provided are based on goals, objectives, and support strategies outlined in support/career plans of persons served. Work a flexible schedule (including evenings and weekends) as defined by supervisor to support people served in the hours required of their employers.

Ensure timely arrival and departure at community jobs, assessments, volunteer shifts, and other activities (job tours, job shadowing, etc.) by providing transportation and/or support to use public/private transportation. 

Ensure accurate completion of job, volunteer, or assessment tasks while in the community. Provide timely and consistent feedback on performance, satisfaction and progress of persons served to Case Managers, Manager, Director, and other staff members through documentation, phone/email communication, and attendance at vocational team meetings, case conferences, support plan meetings, etc. as needed.

Work with employer and/or community member in a positive and professional manner to help persons served establish support from the employer and co-workers. Provide training to employers when applicable and work to increase natural supports and decrease level and intensity of supports offered by Fidelity House CRC. 

Assist the employer to complete job performance evaluations with persons served. Provide accurate and complete information regarding number of hours worked, hourly pay, and other information needed for employment data collection and/or payroll. Inform the Case Manager, Manager and Director of all concerns expressed by employer or individuals served in a timely manner.

Provide personal care, assistance, and support to individuals consistent with their medical, physical, and psychological needs in a respectful manner. Know and understand the profiles and histories of individuals supported, as well as strategies to promote a positive learning/working environment for each person. Communicate with Case Manager, Manager, and Director any issues pertinent to the health, safety, and well-being of the people served. Understand/implement crisis plans, behavior treatment plans, and medical protocols correctly and consistently.

Complete all documentation required by Fidelity House CRC and regulatory agencies, focusing on providing complete, relevant, and accurate information in a timely manner. Complete incident, accident/injury, and restraint reports; job coaching summary documentation, data sheets, etc. in a manner which clearly identifies all components of the intervention and in accordance with regulatory expectations. Participate in the implementation of support plan goals, objectives, and tracking of information related to those, as well as all services and activities provided by Fidelity House CRC.

Perform all duties in a manner which demonstrates an awareness and respect of each individual's legal, civic and human rights. Maintain and enforce the confidentiality of any information relating to individuals served.

Maintain customer focus at all times in the delivery of services. Provide quality services, be responsive to customer needs, and display professionalism in relationships with referral sources, persons served, and family members/guardians.

Report injuries of persons served or self immediately to supervisor and complete follow-up paperwork when needed. Ensure compliance with DDS and DPH regulations, able to file HCSIS reports and follow DPPC and CRC policies and procedures.

Communicate with Director of Day Services and Manager any medical issues pertinent to the health and safety of the people served.

Work collaboratively with team members, actively participating in goal development, meetings, and maintenance of program areas/spaces. Work as a positive team member, supporting other staff during interventions, activities, and other duties as assigned by supervisor.

Complete all mandatory trainings to ensure skill maintenance and development. This includes CPR, First Aid, and other trainings mandated by CRC, as well as other department and state agency required trainings and certifications. Complete supplementary trainings related to functions within the Case Manager role, as well as new initiatives identified by CRC or state agencies.

Assist in maintaining a clean and safe environment by reporting issues to the proper personnel.
Perform any and all other duties as assigned by supervisor, and report to same when unable to complete specified duties.

Job Requirements:
High School Diploma, GED or Associates Degree in Human Services or related field
0-3 years of experience in the human services field
Desire and passion for serving people with disabilities
Preferred one year experience working with individuals with DD, MH or BI
Commensurate experience may be substituted for educational requirements
Must have a valid driver's license.

For consideration: Please forward your resume, or apply directly to our career portal at www.fidelityhhs.org/careers. 

We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, disability status, protected veteran status or any other characteristic protected by law

"
4,Product Support Associate,N/A,Jun 27,https://boston.craigslist.org/gbs/npo/d/boston-product-support-associate/6921837950.html,"
compensation: DOE

non-profit organization

","

QR Code Link to This Post


 
Product Support Associate
Location: Boston, MA
Position is available: Immediately
 
THE OPPORTUNITY
The Support & Operations Team sets up and supports internal staff, school leaders, teachers, and districts to fully leverage ANet's products and services and to ensure our partners have access to high quality resources that drive strong instructional practice. The Product Support Associate will build their expertise of ANet's products and their application in a variety of contexts and apply this knowledge to provide best-in-class support by phone, email, and through pre-made resources to support logistical and technical questions from our school partners. In addition to providing direct support to partners, Product Support Associates ensure the best possible products by executing functional testing.  This is a great opportunity for someone looking to build their skills in customer service, product support, and/or quality assurance. The Product Support Associate will work closely with members of our Quality Assurance, Support, and regional teams. 
 
WHAT YOU'LL DO
 
Ensure our school partners have a strong back-to-school and in-year experience by providing in-the-moment support
Be an expert in our online platforms and provide strong communication to support school partners via phone and email
Troubleshoot issues that arise including identifying causes and resolutions or alternative paths for leveraging products
Accurately gather and document information about issues and questions that partners are raising
Understand the unique needs of partners and adjust support and recommendations as needed
Escalate technical issues and challenges to Tier 2 and Engineering when necessary
 
 
Ensures the reliability of our products for our partners by supporting functional testing
Tests software programs; compare specifications to documentation, identifies, analyzes and documents defects, questionable functions, and errors 
Contributes to establishment of standards and procedures for testing 
Recommends product improvements or revisions to Product Managers and Engineering team
Conducts compatibility tests with other software programs, hardware, multiple operating systems, and network environments as needed
 
WHO YOU ARE AND WHAT YOU BRING
In order to be successful in this role, candidates must demonstrate the following:
You bring prior experience in an education setting and can apply that knowledge to provide support that demonstrates empathy for our school partners.
You are motivated by helping leaders and teachers be effective in their roles. You go above and beyond to make sure our products enhance a student's learning experience.
You are a great listener and love a challenging puzzle. You apply these skills to get at the root of a partners needs. 
You are a masterful communicator, and can translate complex technical information so it is accessible to anyone.
You sweat the small stuff and bring exceptional attention to detail, prioritization, and strong organizational skills.
You are energized by working in an entrepreneurial, fast-paced, highly collaborative, and team-oriented environment.
You understand that schools are dynamic places and are comfortable working on projects and tasks with shifting priorities.
 
 
HOW TO APPLY
We are now accepting applications for this position, which will be reviewed on a rolling basis. To apply, please click on the blue “Apply” button. You will then be prompted to complete a brief application and upload a resume and thoughtful cover letter in which you outline why you are interested in working for ANet and how your skills and experience meet the qualifications of the position. 
 
ANet is committed to maximizing the diversity of our organization. We are an equal opportunity employer and encourage individuals of all ethnic and racial backgrounds and gender identities to apply to our positions. Apply HerePI111377816 "
5,Recreation Assistant - Part Time,Somervilee,Jun 27,https://boston.craigslist.org/nos/npo/d/somerville-recreation-assistant-part/6921828389.html,"
compensation: $14.70 per hour

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Welcome!  Thank you for exploring a career with us!   Our team of 500+ dedicated employees share the desire to do meaningful work and make a difference in the lives of individuals with disabilities in Massachusetts, Connecticut, Long Island, New York, Rhode Island, and Oklahoma.

Our Mission
We believe individuals with disabilities and other societal disadvantages are an essential resource for our country’s future.  Our mission is to help build a world in which individuals with disabilities and other disadvantages realize their full potential. 

Our Vision
Viability will be a positive disruptive force in the marketplace leading the innovative designs of future service delivery for individuals with disabilities and other disadvantages to realize their full potential within their communities of choice.

We invite you to apply if you are: caring, energetic, optimistic, reliable, and a creative problem solver with good interpersonal skills. If you work independently in a team environment & are adaptable and flexible to meet program needs-this may be the place for you!

Position: Recreation Support Professional 1
Location: Somerville, MA
Rate of Pay: $14.70
Hours: 5 hours per week
Schedule: 4:00pm-9:00pm; days may vary weekly

Part-Time Recreation Support Professional 1 Summary: Assist individuals with disabilities to achieve self-fulfillment through their life goals and desires. S/he develops and implements in-house recreational activities for people with traumatic brain injuries or other disabilities

Part-Time Recreation Support Professional 1 Qualifications: High School/GED plus 1 year related experience and/or training. One year supervisory or human service experience desired. Knowledge of and respect for diverse populations.

Part-Time Recreation Support Professional 1 Requirements: Ability to use computers to include Microsoft Word, data entry, email and internet essential. Must have a valid driver's license, 3 years driving experience, good driving record, use of a vehicle and willingness to transport participants in personal and/or agency vehicle. Must be able to travel within the region to access residential settings, employers, offices and community organizations.

Valid driver’s license, 3 years driving experience, good driving record, use of vehicle with compulsory auto insurance and vehicle registration, and willingness to transport program members in personal and/or agency vehicle.  Must be able to travel within the region to access residential settings, employers, and community organizations.

Total Rewards = Competitive Pay + Excellent Benefits + Meaningful Work
•	Competitive Pay with Promotional Opportunities
•	Professional and personal growth opportunities
•	Paid Sick Time & Paid Time Off
•	Retirement plan: Employer matches maximum 6% on employee contribution of 4% at time of hire
•	Extensive Employee Assistance program for employees and loved ones
•	Preferred ratings for home, renters’, pet, and auto insurance
•	Tuition Scholarship Program

To apply, please see the Careers section of our website at VIABILITY.org


Viability is an equal opportunity workplace and Employer of Choice. We believe our strength lies in embracing our differences through a respectful, inclusive, collaborative environment. Viability provides reasonable accommodations to qualified individuals with disabilities in all aspects of the employment process.

"
6,Education/Employment Specialist 2 - Full Time,North Shore,Jun 27,https://boston.craigslist.org/nos/npo/d/gloucester-education-employment/6921825457.html,"
compensation: $19.43 per hour

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Welcome!  Thank you for exploring a career with us!   Our team of 500+ dedicated employees share the desire to do meaningful work and make a difference in the lives of individuals with disabilities in Massachusetts, Connecticut, Long Island, New York, Rhode Island, and Oklahoma. 

Our Mission
We believe individuals with disabilities and other societal disadvantages are an essential resource for our country’s future.  Our mission is to help build a world in which individuals with disabilities and other disadvantages realize their full potential.

Our Vision
Viability will be a positive disruptive force in the marketplace leading the innovative designs of future service delivery for individuals with disabilities and other disadvantages to realize their full potential within their communities of choice.

 We invite you to apply if you are: caring, energetic, optimistic, reliable, and a creative problem solver with good interpersonal skills. If you work independently in a team environment & are adaptable and flexible to meet program needs- this may be the place for you.

Position: Full-time Education/Employment Specialist 3 
Location:   Gloucester, Rockport, Manchester/Essex, MA
Rate of Pay: $19.43 per hour 
Hours: 8:30am-4:30pm Monday-Friday, 37.5 hours per week

Full-Time Education/Employment Specialist 3 Summary: Facilitates work-based training classes for students ages 14-22 using a prescribed curriculum. Facilitates a prescribed program that includes assessments, classroom instruction, physical movement, development of employment plans, assessing their interests in employment and education, placement in jobs and internships, and on site job training and support. Develops and services employment relationships between clients and community employers, providing access to an array of employment, job training, and educational opportunities. Responsible for the coordination of internship opportunities, including working evaluation sites, marketing, job development, internship procurement. Additional responsibilities include vocational guidance, job development, job placement, onsite training, employer education, and customer relations. 

Full-Time Education/Employment Specialist 3 Qualifications: Bachelor’s degree in Education with three years of teaching experience.  Knowledge of and respect for diverse populations.

Full-Time Education/Employment Specialist 3 Requirements:  Ability to use computers to include Microsoft Word, data entry, email, and internet essential. Must have a valid driver's license, 3 years driving experience, good driving record, use of vehicle and willingness to transport participants in personal vehicle. Must be able to travel within the region to access residential settings, employers, offices and community organizations.

Total Rewards = Competitive Pay + Excellent Benefits + Meaningful Work
•	Competitive Pay with Promotional Opportunities
•	Medical Plan
•	Dental Plan
•	Vision Plan
•	Health Savings Account
•	Health Care and Dependent Care Reimbursement Accounts
•	Retirement plan: Employer matches maximum 6% on employee contribution of 4% at time of hire
•	Company-paid disability insurance
•	Company-paid life and AD&D insurance

 Work/Life Balance & Well-being
•	Generous Paid Time Off (vacation, holiday, personal, and sick time)
•	Tuition Scholarship Program
•	Professional and personal growth opportunities
•	Employee Assistance program for employees and loved ones
•	Supplemental Disability, Accident insurance for employees and loved ones
•	Preferred ratings for home, renters’, pet, and auto insurance
•	Fitness and Weight Loss program support 

To apply, please see the Careers section of our website at VIABILITY.org

Viability is an equal opportunity workplace and Employer of Choice. We believe our strength lies in embracing our differences through a respectful, inclusive, collaborative environment. Viability provides reasonable accommodations to qualified individuals with disabilities in all aspects of the employment process.

"
7,Career Coach - CPN,"Boston, MA",Jun 27,https://boston.craigslist.org/gbs/npo/d/boston-career-coach-cpn/6921799225.html,"
compensation: Grade 3

employment type: full-time

","

QR Code Link to This Post


JVS is a non-profit, non-sectarian agency.  Our mission is to empower individuals from diverse communities to find employment and build careers, and to partner with employers to hire, develop and retain productive workforces. 

	JVS provides a broad range of services including adult education, skills training, job readiness training, job placement and support, and access to post-secondary education.  JVS assists employers in their search for well-qualified job applicants and their initiatives to upgrade the skills of their incumbent workforce.  

POSITION SUMMARY:    
Under the direction of the Lead Career Coach of CareerPath Now (CPN) and in collaboration with the CPN team, the Career Coach creates individualized plans that place Department of Transitional Assistance (DTA) clients on a path to self-sufficiency and that ensure work-required SNAP and TAFDC recipients are able to meet work requirements to maintain their benefits. Through 1:1 career coaching and small group workshops, the coach supports clients from diverse backgrounds, many of whom face one or more significant barriers to employment, in their efforts to connect with education, job training and employment with an end goal of financial independence.  Successful candidates must have exceptional interpersonal and communication skills, experience working with clients from diverse backgrounds facing multiple barriers, strong time management capabilities, a proven ability to teach job search and application skills, an attention to detail, and outstanding record keeping skills, in addition to a strong commitment to the program mission and goals. This position is located at 75 Federal Street, Boston, MA and may involve some travel into local neighborhoods. 

ESSENTIAL JOB FUNCTIONS:

Accountability and Results Focused: 
•	Conduct 1:1 meetings with clients assessing needs through interview, observation, and examination of information.
•	Create individualized plans to ensure that each client has a clear path to achieving their education and employment goals while maintaining their DTA benefits.
•	Assist clients in goal setting and identifying services leading to education, job training, skills upgrades and employment.
•	Connect with clients regularly to support successful implementation of their plan and provide monthly reporting on their behalf to DTA.
•	Understand and apply knowledge of internet resources for employment and training opportunities.
•	Establish, track and meet program dashboard indicators using database software. 
•	Facilitate Job Search Lab to assist individuals and groups with computer literacy, mock interviews, resume assistance, job applications, and job search strategies.






Build relationships, collaboration and teamwork:
•	Support and promote the mission and philosophy of JVS both internally and outside the agency.
•	Function as part of the JVS team to provide high quality employment services.
•	Establish relationships with key stakeholders, particularly the DTA, and work collaboratively in a structured and on-going manner.
•	Demonstrate knowledge of key principles and best practices of adult training, group facilitation and 1:1 career coaching. 
•	Interact in a team environment to establish and maintain harmonious working relationships with key stakeholders (participants, colleagues, coworkers, employers, partner organizations, funders, etc.) 
•	Take proactive actions to serve and refer clients to other JVS programs and opportunities.
•	Attend and actively participate in staff meetings and team-based projects.
•	Provide assistance to fellow team members when needed.

Administrative/Communication:
•	Contact potential/current clients to schedule/confirm appointments using appropriate systems and software. 
•	As a public facing team member, demonstrate a professional demeanor with strong customer service skills.  
•	Communicate effectively verbally and in writing with compassion and professionalism.
•	Exercise discretion in handling confidential information.
•	Participate in meetings, in-service trainings, team-based projects, and committees.
•	Communicate regularly with Supervisor to insure smooth delivery of services.
•	Perform other duties as assigned or requested.

MINIMIUM QUALIFICATIONS AND EXPERIENCE:    
•	1-3 years of experience in the  mentoring/advising/career coaching/recruiting field with excellent knowledge of career coaching tools and strategies. 
•	Knowledge of web-based job search resources and techniques.
•	Exceptional level of computer/technology proficiency including ability to complete on-line job applications and maintain accurate records of services provided in databases.
•	Strong Microsoft Office Suite skills required.
•	Ability to work in a multi-cultural environment required.
•	Bilingual or second language fluency a plus.

EDUCATION REQUIRED:  Associates in related area (Counseling, Human Resources, Psychology, Social Work, or Education) or at least 4 years’ experience. 

KEY COMPETENCIES:   
Accountability and Results focused
Adapting to Change
Building Relationships, Collaboration and Teamwork
Cultural Competency and Respect
Communication Skills
Initiative 
Planning/Organizing
Promotes Agency

JOB COMPETENCIES:
Facilitation/Training/Coaching
Applied Technology 
Tracking program progress and reporting
Collaboration across departments and agencies


MENTAL DEMANDS:						
Reading			
Language 			
Detailed work		             	
Math				
Confidentiality	                             	
Multiple concurrent tasks
Problem Solving		 
Verbal and Written communication
PHYSICAL DEMANDS:
Sitting			
Attendance
Speaking		
Listening	

WORKING CONDITIONS:
Frequent meeting with clients and community partners
May be requested to work outside of scheduled hours as defined by the needs of the department. 
Will attend occasional off-site meetings with partner organizations in and around the greater Boston area.

JVS CULTURE:  
JVS is strongly committed to diversity and a workplace environment that respects, appreciates and values employee differences and similarities.  By providing and supporting a work culture that fosters and builds upon diversity and its strengths, JVS will better serve our local communities and continue to provide quality services.


"
8,▀▄ STOP the assault on environment: F/T activist jobs avg $12-17/hr,Downtown Crossing,Jun 27,https://boston.craigslist.org/gbs/npo/d/boston-stop-the-assault-on-environment/6921710063.html,"
compensation: $480-$750/week

employment type: full-time

","

QR Code Link to This Post









"
9,Middle School Culture Fellow,Chelsea,Jun 27,https://boston.craigslist.org/gbs/npo/d/chelsea-middle-school-culture-fellow/6921561771.html,"
compensation: Mid-high 30's

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Organizational Overview

Founded in 2003 to provide a free, public, high-quality college preparatory education for the students of East Boston and Chelsea, Excel is proving that children’s ability to succeed in high school, college, and beyond is not determined by zip code. We have grown from one school serving approximately 200 students to a network of four schools serving more than 1,300 students, and our purpose and theory of change remains consistent: we believe that when a student has the support and tools to pursue a productive post-secondary pathway aligned with personal identity and values, it can fundamentally change his/her life trajectory. As a true public school, Excel is defined not by whom we exclude but by whom we include in our community. We are proud of the fact that we serve many students with special needs.

After 8 years of operating a small single-site middle school in East Boston, Excel was designated a “Proven Provider” by the Commonwealth of Massachusetts and granted two additional charters to serve middle school students. After four more successful years, Excel Academy Charter High School opened in 2015. In spring 2019, we are excited to cheer on our first senior class as they become the first cohort to receive high school diplomas from Excel.

About the Role

The Student Culture Fellow builds a positive, academics-focused culture of success among the student body at Excel Academy – Chelsea through leadership of student culture programs and support for the Dean of Students’ office. The Student Culture Fellow additionally serves as a substitute teacher, ensuring a high standard of instruction even when teachers are absent. This position reports to the Dean of Students. Specific responsibilities include:

Duties and Responsibilities

Manage Student Culture Programs

The Student Culture Fellow will manage the following programs to build student culture. Responsibilities will include tracking data, purchasing prizes, organizing materials, managing a budget, and all other duties to operate these programs successfully.

-PREP Bands (presented quarterly to all students based on PREP average)
-PREP blocks and related competitions/prizes
-PREP store once a month during Focus
-Provide logistical support to the Deans of Students during PREP Auctions preparation
-Support the Dean of Students’ Office

The Student Culture Fellow will support the Deans of Students in upholding student discipline in the school via the following duties. The Student Culture Fellow will spend between 50% of class periods weekly on-duty in the Dean of Students’ office to manage these responsibilities.

-Support morning entry and uniform-check procedures
-Manage intake of referred students and support students to complete referral reflections
-Process referrals for emergency bathroom, engagement, or professionalism for grades 5, 6, 7 and 8.
-Support students in re-entering class after referrals as needed.
-Directly communicate with parents when non-suspension consequences are issued, such as automatic detentions or referrals with a check-in.
-As needed, provide 1:1 or small-group behavior and academic support to high-need students in class following re-entry from referrals
-Provide logistical and materials-management support, including stocking paperwork in the Dean of Students’ office and creating weekly Friday Extension folders
-Manage tracking of Dean’s Office data, including Friday Extension frequency and referrals
-Input Dean’s Office data into our management system, Dean’s List
-Provide logistical support to the Dean of Students in gathering data used for Grade Level Teams (merit, demerits, etc.) and School Administration (attendance, grades)

Teaching and After-School Program Responsibilities:

The Student Culture Fellow will ensure a high quality of instruction in classes, during homeroom, and during after-school programming via the following duties:

-Serve as a substitute teacher during the school day
-Lead an Enrichment class each trimester
-Lead a Yearbook extracurricular
-Serve as a homeroom teacher and advisor
-Support the Head of School and Deans of Students as an assistant teacher for 5th Life Skills, 6th grade Leadership, and 8th grade Public Speaking elective courses
-Monitor Focus study hall to support students to complete quality homework
-Monitor students in consequences (detention)

Serve as a productive member of the Excel Community

-Uphold Excel Staff norms
-Provide coverage when needed
-Meaningfully participate in Friday meetings, school PD and family conferences
-Do whatever it takes to make sure mission of the school is fulfilled

Qualifications

-A Bachelor’s degree is required;
-Some experience working in an urban public or charter school and/or with urban students preferred; 
-The ability to speak Spanish preferred but not required;
-An unwavering commitment to and belief in the mission of Excel Academy Charter Schools, including Excel’s values and educational model;
-A commitment to addressing educational inequity;
-The ability to focus and thrive in a fast paced, entrepreneurial environment;
-The ability to work effectively in a team environment and the willingness and desire to support others in doing their best work; and
-An entrepreneurial spirit that reflects an openness to change, a willingness to problem-solve, and an interest in developing new ideas & programs.


How To Apply

Please visit http://www.excelacademy.org/join-our-team/ to learn more about working at Excel, and/or visit http://jobs.jobvite.com/excel to view a current list of career opportunities and submit an application. Applications will be reviewed as they are received; candidates are encouraged to apply as soon as possible.

Excel Academy Charter Schools do not discriminate on the basis of race, color, national origin, creed, sex, ethnicity, sexual orientation, gender identity, disability, age, ancestry, athletic performance, special need, proficiency in the English language or a foreign language or prior academic achievement.    "
10,Teen Parenting Spanish Speaking Advocate,Lynn,Jun 27,https://boston.craigslist.org/nos/npo/d/lynn-teen-parenting-spanish-speaking/6921490417.html,"
compensation: Competitive Salary & Benefits

employment type: full-time

","

QR Code Link to This Post


Lynn, MA - Teen Living/Parenting Program Family Advocate Opportunity

Full-Time and Part-Time Opportunities Available - Weekend, Evening and/or Overnight (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions: 
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions. 
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed. 
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources. 
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift. 
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups. 

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below. 

https://workforcenow.adp.com/jobs/apply/posting.html?client=cboard#

To learn more about Centerboard, please visit www.centerboard.org    "
